yolov3-voc
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Resizing
384
Loaded: 0.000029 seconds
Region 82 Avg IOU: 0.159541, Class: 0.296574, Obj: 0.611584, No Obj: 0.473502, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.495408, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.469998, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.182122, Class: 0.288517, Obj: 0.514218, No Obj: 0.474432, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.495586, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.469574, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.318809, Class: 0.367619, Obj: 0.816712, No Obj: 0.476028, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.494632, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470678, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.148075, Class: 0.324890, Obj: 0.500622, No Obj: 0.472586, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.495889, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470291, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.049823, Class: 0.541966, Obj: 0.670811, No Obj: 0.473837, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.495963, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.471736, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.235725, Class: 0.225069, Obj: 0.268704, No Obj: 0.475619, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.495049, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470540, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.285284, Class: 0.218292, Obj: 0.644052, No Obj: 0.471475, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.493860, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.471820, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.165127, Class: 0.201652, Obj: 0.594247, No Obj: 0.473554, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.495685, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.469549, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.167463, Class: 0.438389, Obj: 0.309329, No Obj: 0.475572, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.495059, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.469200, .5R: -nan, .75R: -nan,  count: 0
